title,link,creator,pubdate,category,description,source,scrape_timestamp
APM Terminals seals $1bn ports deal in India,https://splash247.com/apm-terminals-seals-1bn-ports-deal-in-india/,Adis Ajdin,22/08/2025 12:38:00,"Asia, Containers, Europe, Ports and Logistics, Denmark, India, Maersk, Netherlands","Maersk’s port operating arm, APM Terminals, has signed a memorandum of understanding with India’s Andhra Pradesh Maritime Board to invest 9,000 crore (around $1.1bn) in the development of three key ports in the state. The agreement, inked in the presence of chief minister N Chandrababu Naidu, covers the upgrading of the Ramayapatnam, Machilipatnam and Mulapeta ...",Splash247,23/08/2025 14:06:58
OOCL admits upcoming US port fees will have ‘relatively large impact’,https://splash247.com/oocl-admits-upcoming-us-port-fees-will-have-relatively-large-impact/,Sam Chambers,22/08/2025 10:00:15,"Americas, Containers, Greater China, Ports and Logistics, Regulatory, China, United States","Orient Overseas (International) Ltd (OOIL), the listed entity of Hong Kong container line OOCL, has conceded that October’s likely introduction of extra port fees for Chinese-linked tonnage could be painful. OOCL, owned by China’s COSCO, posted its interims yesterday in which it noted in a release that the potential extra port charges levied by the ...",Splash247,23/08/2025 14:06:58
Bill Gates in Korea to further nuclear-powered ships project with HD Hyundai,https://splash247.com/bill-gates-in-korea-to-further-nuclear-powered-ships-project-with-hd-hyundai/,Sam Chambers,22/08/2025 09:30:16,"Americas, Asia, Operations, Shipyards, Tech, South Korea, United States","Bill Gates, in his role as founder of TerraPower, met with HD Hyundai’s executive vice-chairman Chung Kisun in Seoul today to further a strategic partnership aiming to commercialise small modular reactor (SMR) propulsion. The meeting—after their March rendezvous in the US—centred on scaling up supply chains and advancing Natrium sodium-cooled fast reactor tech for power ...",Splash247,23/08/2025 14:06:58
Splash Wrap: Boxship orders dominate as carriers face oversupply reality,https://splash247.com/splash-wrap-boxship-orders-dominate-as-carriers-face-oversupply-reality/,Splash,22/08/2025 09:00:00,"Containers, Operations, Splash Wrap","The containership market led Splash coverage this week, with the orderbook climbing to record levels and analysts warning of a prolonged supply glut. The global orderbook now stands at 10.4m teu, or 31.7% of the existing fleet, the highest since 2010. Linerlytica cautioned that the industry is on track for another decade-long overhang, similar to ...",Splash247,23/08/2025 14:06:58
Taking a reality check on shipping’s digitalisation,https://splash247.com/taking-a-reality-check-on-shippings-digitalisation/,Splash,22/08/2025 08:30:28,"Contributions, Tech","Vlassis Papapanagis, chief commercial officer at Tototheo Global, writes for Splash today. Digitalisation and AI are reshaping shipping, promising safer, smarter and more environmentally responsible operations. This is particularly acute in the absence of a clear pathway for alternative fuels. As companies accelerate their use of technologies to optimise operations, the pathway to progress is ...",Splash247,23/08/2025 14:06:58
Greek shipbroker the main focus of latest US sanctions against Iran,https://splash247.com/greek-shipbroker-the-main-focus-of-latest-us-sanctions-against-iran/,Sam Chambers,22/08/2025 08:00:42,"Americas, Europe, Operations, Regulatory, Greece, United States","A Greek shipbroker has been the focus of the latest sanctions from the US aimed at stifling Iranian oil exports. Antonios Margaritis, his network of companies, and nearly a dozen vessels involved in Iran’s shadow fleet were singled out by the Department of the Treasury’s Office of Foreign Assets Control (OFAC) yesterday, the latest in ...",Splash247,23/08/2025 14:06:58
Navios Partners picks up two resale LR2s in $133m deal,https://splash247.com/navios-partners-picks-up-two-resale-lr2s-in-133m-deal/,Adis Ajdin,22/08/2025 07:30:00,"Europe, Tankers, Greece","Greece’s Navios Maritime Partners has confirmed the acquisition of two scrubber-fitted aframax/LR2 tanker resales, lifting its orderbook in the segment to 12 vessels. The Angeliki Frangou-led company is paying $133m for the pair of 115,000 dwt newbuilds, which are scheduled for delivery in the first half of 2027. The identity of the seller has not ...",Splash247,23/08/2025 14:06:58
Nigerian tanker buyers step up with trio of summer deals,https://splash247.com/nigerian-tanker-buyers-step-up-with-trio-of-summer-deals/,Hans Thaulow,22/08/2025 07:01:40,"Africa, Tankers, Nigeria","Nigerian tanker buyers have stepped up their activity this summer, snapping up three ships from June onwards — more than doubling their deal count for the year, according to data from VesselsValue. To date, seven secondhand tanker acquisitions have been tracked to Nigeria in 2025. The latest round of deals includes Triber Energy, which has ...",Splash247,23/08/2025 14:06:58
AXSMarine employee readies to swim 70 km across Lake Geneva,https://splash247.com/axsmarine-employee-readies-to-swim-70-km-across-lake-geneva/,Sam Chambers,22/08/2025 06:00:05,"Europe, Operations, Switzerland","This September, British endurance swimmer Andrew Cornish, a business development manager at AXSMarine, will attempt one of the most demanding feats in open-water swimming – a solo 70 km swim across Lake Geneva – to raise funds for the medical charity Mercy Ships. The challenge, officially known as Lake Geneva Signature Swim, covers the entire ...",Splash247,23/08/2025 14:06:58
Shelf Drilling secures $50m jackup extension from Chevron in West Africa,https://splash247.com/shelf-drilling-secures-50m-jackup-extension-from-chevron-in-west-africa/,Bojan Lepic,22/08/2025 05:40:00,"Africa, Americas, Middle East, Offshore, Angola, United Arab Emirates, United States","Oslo-listed jackup rig player Shelf Drilling has won a one-year contract extension for one of its rigs. Cabinda Gulf Oil Company, a Chevron subsidiary, extended the contract for the 2007-built Shelf Drilling Tenacious rig for drilling operations offshore West Africa. The extension will begin in direct continuation of the rig’s current contract, extending the commitment ...",Splash247,23/08/2025 14:06:58
